# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.575000e+01
# lRef        : 1.000000e+00
# Aref        : 1.700000e-01
# CofR        : (3.920000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
295           	4.236122e-07	9.362227e-02	-8.930550e-06	-4.041663e-06	-4.888887e-06
296           	1.743959e-06	9.362181e-02	-1.384566e-05	-5.178869e-06	-8.666786e-06
297           	3.542525e-07	9.362228e-02	-8.182977e-06	-3.737236e-06	-4.445741e-06
298           	1.670146e-06	9.362179e-02	-1.331554e-05	-4.987624e-06	-8.327916e-06
299           	2.946215e-07	9.362224e-02	-7.889244e-06	-3.650000e-06	-4.239243e-06
300           	1.623207e-06	9.362175e-02	-1.316030e-05	-4.956945e-06	-8.203359e-06
301           	2.546674e-07	9.362220e-02	-7.752000e-06	-3.621333e-06	-4.130667e-06
302           	1.582524e-06	9.362171e-02	-1.293307e-05	-4.884011e-06	-8.049060e-06
303           	2.120309e-07	9.362215e-02	-7.391022e-06	-3.483480e-06	-3.907542e-06
304           	1.539176e-06	9.362168e-02	-1.244592e-05	-4.683782e-06	-7.762134e-06
305           	1.714455e-07	9.362213e-02	-6.824017e-06	-3.240563e-06	-3.583454e-06
306           	1.502743e-06	9.362167e-02	-1.185100e-05	-4.422758e-06	-7.428244e-06
307           	1.397716e-07	9.362215e-02	-6.247058e-06	-2.983757e-06	-3.263301e-06
308           	1.474584e-06	9.362169e-02	-1.131764e-05	-4.184238e-06	-7.133405e-06
309           	1.146403e-07	9.362216e-02	-5.771481e-06	-2.771100e-06	-3.000381e-06
310           	1.451615e-06	9.362170e-02	-1.089843e-05	-3.997599e-06	-6.900829e-06
311           	9.381892e-08	9.362216e-02	-5.402882e-06	-2.607622e-06	-2.795260e-06
312           	1.432228e-06	9.362168e-02	-1.056688e-05	-3.851212e-06	-6.715667e-06
313           	7.505921e-08	9.362213e-02	-5.093580e-06	-2.471731e-06	-2.621849e-06
314           	1.412390e-06	9.362166e-02	-1.026330e-05	-3.719259e-06	-6.544039e-06
315           	5.245651e-08	9.362211e-02	-4.782956e-06	-2.339022e-06	-2.443935e-06
316           	1.385255e-06	9.362164e-02	-9.937780e-06	-3.583636e-06	-6.354145e-06
317           	1.975212e-08	9.362210e-02	-4.442287e-06	-2.201391e-06	-2.240896e-06
318           	1.346946e-06	9.362164e-02	-9.588121e-06	-3.447115e-06	-6.141006e-06
319           	-2.292667e-08	9.362211e-02	-4.093058e-06	-2.069456e-06	-2.023602e-06
320           	1.302375e-06	9.362167e-02	-9.248862e-06	-3.322056e-06	-5.926806e-06
321           	-6.603586e-08	9.362215e-02	-3.769613e-06	-1.950842e-06	-1.818770e-06
322           	1.264102e-06	9.362171e-02	-8.941722e-06	-3.206758e-06	-5.734963e-06
323           	-9.671246e-08	9.362219e-02	-3.474703e-06	-1.834064e-06	-1.640639e-06
324           	1.242106e-06	9.362175e-02	-8.651992e-06	-3.083890e-06	-5.568102e-06
325           	-1.107529e-07	9.362222e-02	-3.183910e-06	-1.702708e-06	-1.481202e-06
326           	1.233359e-06	9.362176e-02	-8.356849e-06	-2.945066e-06	-5.411784e-06
327           	-1.180495e-07	9.362223e-02	-2.885855e-06	-1.560977e-06	-1.324878e-06
328           	1.223397e-06	9.362176e-02	-8.061545e-06	-2.807376e-06	-5.254169e-06
329           	-1.340429e-07	9.362221e-02	-2.601647e-06	-1.434866e-06	-1.166781e-06
330           	1.199553e-06	9.362173e-02	-7.796338e-06	-2.698616e-06	-5.097722e-06
331           	-1.656203e-07	9.362218e-02	-2.360877e-06	-1.346059e-06	-1.014818e-06
332           	1.162165e-06	9.362170e-02	-7.580359e-06	-2.628014e-06	-4.952345e-06
333           	-2.056670e-07	9.362215e-02	-2.165047e-06	-1.288191e-06	-8.768566e-07
334           	1.123130e-06	9.362168e-02	-7.395590e-06	-2.574665e-06	-4.820925e-06
335           	-2.404097e-07	9.362213e-02	-1.979921e-06	-1.230370e-06	-7.495507e-07
336           	1.094923e-06	9.362167e-02	-7.199296e-06	-2.504725e-06	-4.694571e-06
337           	-2.612462e-07	9.362213e-02	-1.764960e-06	-1.143726e-06	-6.212336e-07
338           	1.080759e-06	9.362168e-02	-6.963531e-06	-2.401006e-06	-4.562524e-06
339           	-2.706326e-07	9.362215e-02	-1.512226e-06	-1.026745e-06	-4.854804e-07
340           	1.073489e-06	9.362170e-02	-6.703162e-06	-2.278091e-06	-4.425070e-06
341           	-2.785513e-07	9.362217e-02	-1.257126e-06	-9.071142e-07	-3.500117e-07
342           	1.062598e-06	9.362173e-02	-6.466780e-06	-2.170792e-06	-4.295988e-06
343           	-2.937663e-07	9.362220e-02	-1.050198e-06	-8.188652e-07	-2.313326e-07
344           	1.042917e-06	9.362175e-02	-6.294573e-06	-2.104369e-06	-4.190204e-06
345           	-3.169965e-07	9.362222e-02	-9.111795e-07	-7.725862e-07	-1.385933e-07
346           	1.017905e-06	9.362175e-02	-6.180553e-06	-2.072371e-06	-4.108181e-06
347           	-3.417789e-07	9.362221e-02	-8.090382e-07	-7.462980e-07	-6.274019e-08
348           	9.950995e-07	9.362174e-02	-6.075059e-06	-2.042430e-06	-4.032629e-06
349           	-3.615568e-07	9.362219e-02	-6.868240e-07	-7.049688e-07	1.814475e-08
350           	9.784286e-07	9.362172e-02	-5.927651e-06	-1.985397e-06	-3.942254e-06
351           	-3.758312e-07	9.362218e-02	-5.125554e-07	-6.321089e-07	1.195535e-07
352           	9.652481e-07	9.362171e-02	-5.732467e-06	-1.900985e-06	-3.831482e-06
353           	-3.892162e-07	9.362218e-02	-3.080768e-07	-5.432546e-07	2.351778e-07
354           	9.507523e-07	9.362172e-02	-5.533153e-06	-1.815824e-06	-3.717329e-06
355           	-4.050430e-07	9.362219e-02	-1.277467e-07	-4.689163e-07	3.411696e-07
356           	9.341902e-07	9.362174e-02	-5.380940e-06	-1.756280e-06	-3.624660e-06
357           	-4.212740e-07	9.362221e-02	-6.479189e-09	-4.245136e-07	4.180344e-07
358           	9.194939e-07	9.362175e-02	-5.286232e-06	-1.723622e-06	-3.562610e-06
359           	-4.335836e-07	9.362221e-02	7.148766e-08	-3.978397e-07	4.693274e-07
360           	9.097311e-07	9.362173e-02	-5.212169e-06	-1.696353e-06	-3.515816e-06
361           	-4.414095e-07	9.362218e-02	1.540350e-07	-3.643920e-07	5.184271e-07
362           	9.026130e-07	9.362171e-02	-5.112590e-06	-1.653682e-06	-3.458908e-06
363           	-4.492880e-07	9.362216e-02	2.736211e-07	-3.124774e-07	5.860985e-07
364           	8.927368e-07	9.362169e-02	-4.976360e-06	-1.595443e-06	-3.380917e-06
365           	-4.616961e-07	9.362216e-02	4.184365e-07	-2.524778e-07	6.709144e-07
366           	8.780743e-07	9.362171e-02	-4.833432e-06	-1.538642e-06	-3.294791e-06
367           	-4.775016e-07	9.362218e-02	5.493685e-07	-2.028174e-07	7.521859e-07
368           	8.626926e-07	9.362174e-02	-4.721318e-06	-1.497967e-06	-3.223352e-06
369           	-4.908899e-07	9.362221e-02	6.407032e-07	-1.705383e-07	8.112415e-07
370           	8.523791e-07	9.362176e-02	-4.647670e-06	-1.471456e-06	-3.176214e-06
371           	-4.979016e-07	9.362222e-02	7.035163e-07	-1.461435e-07	8.496598e-07
372           	8.479661e-07	9.362175e-02	-4.586936e-06	-1.445502e-06	-3.141434e-06
373           	-5.011829e-07	9.362220e-02	7.698629e-07	-1.162515e-07	8.861143e-07
374           	8.440497e-07	9.362172e-02	-4.509979e-06	-1.410940e-06	-3.099039e-06
375           	-5.072703e-07	9.362217e-02	8.586052e-07	-7.796766e-08	9.365729e-07
376           	8.349570e-07	9.362170e-02	-4.412356e-06	-1.371221e-06	-3.041135e-06
377           	-5.192055e-07	9.362216e-02	9.596231e-07	-3.939390e-08	9.990170e-07
378           	8.213368e-07	9.362170e-02	-4.314212e-06	-1.335769e-06	-2.978443e-06
379           	-5.326916e-07	9.362217e-02	1.049613e-06	-7.885245e-09	1.057498e-06
380           	8.099732e-07	9.362172e-02	-4.234974e-06	-1.307514e-06	-2.927460e-06
381           	-5.403729e-07	9.362220e-02	1.118735e-06	1.899482e-08	1.099741e-06
382           	8.066132e-07	9.362174e-02	-4.172656e-06	-1.279715e-06	-2.892941e-06
383           	-5.399286e-07	9.362221e-02	1.179064e-06	4.960327e-08	1.129460e-06
384           	8.093057e-07	9.362175e-02	-4.109528e-06	-1.245458e-06	-2.864070e-06
385           	-5.372545e-07	9.362220e-02	1.247790e-06	8.664048e-08	1.161149e-06
386           	8.096293e-07	9.362173e-02	-4.034862e-06	-1.207802e-06	-2.827060e-06
387           	-5.410404e-07	9.362218e-02	1.325912e-06	1.219156e-07	1.203996e-06
388           	8.009928e-07	9.362171e-02	-3.958001e-06	-1.178008e-06	-2.779993e-06
389           	-5.539425e-07	9.362217e-02	1.396836e-06	1.444754e-07	1.252360e-06
390           	7.855464e-07	9.362171e-02	-3.896860e-06	-1.162884e-06	-2.733977e-06
391           	-5.695320e-07	9.362218e-02	1.446499e-06	1.537175e-07	1.292781e-06
392           	7.723099e-07	9.362173e-02	-3.857158e-06	-1.156269e-06	-2.700889e-06
393           	-5.784725e-07	9.362220e-02	1.480524e-06	1.617894e-07	1.318734e-06
394           	7.684704e-07	9.362174e-02	-3.823257e-06	-1.143158e-06	-2.680099e-06
395           	-5.776934e-07	9.362220e-02	1.519768e-06	1.821908e-07	1.337578e-06
396           	7.722863e-07	9.362174e-02	-3.774703e-06	-1.115065e-06	-2.659638e-06
397           	-5.731898e-07	9.362219e-02	1.578452e-06	2.160362e-07	1.362416e-06
398           	7.750993e-07	9.362172e-02	-3.708212e-06	-1.079007e-06	-2.629205e-06
399           	-5.738484e-07	9.362217e-02	1.648019e-06	2.501609e-07	1.397858e-06
400           	7.702279e-07	9.362170e-02	-3.641578e-06	-1.050561e-06	-2.591017e-06
401           	-5.824262e-07	9.362216e-02	1.706338e-06	2.707427e-07	1.435595e-06
402           	7.595257e-07	9.362170e-02	-3.594803e-06	-1.037876e-06	-2.556927e-06
403           	-5.931054e-07	9.362217e-02	1.741432e-06	2.776105e-07	1.463821e-06
404           	7.510207e-07	9.362171e-02	-3.568294e-06	-1.033126e-06	-2.535167e-06
405           	-5.979388e-07	9.362218e-02	1.764779e-06	2.844505e-07	1.480328e-06
406           	7.502715e-07	9.362173e-02	-3.542192e-06	-1.020824e-06	-2.521368e-06
407           	-5.953508e-07	9.362220e-02	1.798741e-06	3.040198e-07	1.494721e-06
408           	7.545097e-07	9.362174e-02	-3.497722e-06	-9.943513e-07	-2.503371e-06
409           	-5.916617e-07	9.362220e-02	1.852825e-06	3.347507e-07	1.518074e-06
410           	7.556155e-07	9.362174e-02	-3.437975e-06	-9.633721e-07	-2.474603e-06
411           	-5.944434e-07	9.362220e-02	1.912409e-06	3.617610e-07	1.550648e-06
412           	7.486962e-07	9.362173e-02	-3.385137e-06	-9.438721e-07	-2.441264e-06
413           	-6.045975e-07	9.362219e-02	1.953586e-06	3.721955e-07	1.581390e-06
414           	7.371230e-07	9.362173e-02	-3.357715e-06	-9.417346e-07	-2.415980e-06
415           	-6.154317e-07	9.362219e-02	1.968467e-06	3.688019e-07	1.599665e-06
416           	7.290201e-07	9.362173e-02	-3.350733e-06	-9.463463e-07	-2.404386e-06
417           	-6.195584e-07	9.362219e-02	1.974183e-06	3.675333e-07	1.606650e-06
418           	7.290397e-07	9.362172e-02	-3.339635e-06	-9.407779e-07	-2.398857e-06
419           	-6.163054e-07	9.362218e-02	1.995900e-06	3.816446e-07	1.614255e-06
420           	1.126384e-06	9.362181e-02	-4.906503e-06	-1.326868e-06	-3.579635e-06
421           	-5.121490e-07	9.362222e-02	1.531912e-06	2.538068e-07	1.278105e-06
422           	6.763893e-07	9.362186e-02	-3.190827e-06	-9.190244e-07	-2.271803e-06
423           	-1.048699e-06	9.362228e-02	3.666843e-06	7.847224e-07	2.882121e-06
424           	1.361081e-07	9.362181e-02	-9.007834e-07	-3.142835e-07	-5.864998e-07
425           	-1.475896e-06	9.362214e-02	5.952363e-06	1.500286e-06	4.452077e-06
426           	4.324695e-07	9.362168e-02	-1.389110e-06	-2.620854e-07	-1.127024e-06
427           	-2.602049e-07	9.362184e-02	1.440498e-06	4.600439e-07	9.804536e-07
428           	2.347005e-06	9.362134e-02	-9.399003e-06	-2.352497e-06	-7.046506e-06
429           	6.244510e-07	9.362177e-02	-2.922202e-06	-8.366499e-07	-2.085552e-06
430           	9.928204e-07	9.362170e-02	-5.040042e-06	-1.527200e-06	-3.512841e-06
431           	-2.310176e-06	9.362252e-02	7.997526e-06	1.688587e-06	6.308939e-06
432           	-5.037297e-07	9.362253e-02	1.286315e-06	1.394277e-07	1.146887e-06
433           	-1.518275e-06	9.362276e-02	5.809488e-06	1.386469e-06	4.423019e-06
434           	1.455183e-06	9.362201e-02	-5.695763e-06	-1.392698e-06	-4.303064e-06
435           	-1.597993e-08	9.362179e-02	1.707073e-07	6.937374e-08	1.013336e-07
436           	1.674374e-06	9.362115e-02	-6.575775e-06	-1.613513e-06	-4.962262e-06
437           	-7.505442e-07	9.362147e-02	2.936366e-06	7.176386e-07	2.218727e-06
438           	7.635416e-07	9.362148e-02	-3.251253e-06	-8.620847e-07	-2.389168e-06
439           	-7.266508e-07	9.362212e-02	2.338946e-06	4.428220e-07	1.896124e-06
440           	7.263501e-07	9.362219e-02	-3.806430e-06	-1.176865e-06	-2.629565e-06
441           	-9.527205e-07	9.362272e-02	2.808287e-06	4.514231e-07	2.356864e-06
442           	3.852000e-07	9.362236e-02	-2.016839e-06	-6.232195e-07	-1.393619e-06
443           	-1.184903e-06	9.362264e-02	4.615552e-06	1.122873e-06	3.492679e-06
444           	1.643470e-07	9.362194e-02	-2.763767e-07	2.615865e-08	-3.025354e-07
445           	-1.165110e-06	9.362180e-02	5.669972e-06	1.669876e-06	4.000096e-06
446           	7.608848e-07	9.362123e-02	-1.894414e-06	-1.863223e-07	-1.708092e-06
447           	-9.155146e-08	9.362144e-02	9.052622e-07	3.610796e-07	5.441826e-07
448           	1.632300e-06	9.362107e-02	-6.406134e-06	-1.570767e-06	-4.835367e-06
449           	-1.154895e-07	9.362171e-02	-6.808589e-07	-4.559189e-07	-2.249400e-07
450           	1.145353e-06	9.362152e-02	-6.043061e-06	-1.876178e-06	-4.166883e-06
451           	-9.801787e-07	9.362243e-02	2.179777e-06	1.097096e-07	2.070067e-06
452           	4.505832e-07	9.362220e-02	-3.316509e-06	-1.207671e-06	-2.108838e-06
453           	-1.059454e-06	9.362279e-02	3.552313e-06	7.167024e-07	2.835611e-06
454           	6.424031e-07	9.362232e-02	-2.743323e-06	-7.292583e-07	-2.014064e-06
455           	-5.979253e-07	9.362239e-02	2.900688e-06	8.524188e-07	2.048269e-06
456           	1.052036e-06	9.362177e-02	-3.401920e-06	-6.489241e-07	-2.752996e-06
457           	-4.135056e-07	9.362177e-02	2.370931e-06	7.719597e-07	1.598971e-06
458           	1.116019e-06	9.362128e-02	-3.832542e-06	-8.002525e-07	-3.032290e-06
459           	-5.262159e-07	9.362171e-02	2.117532e-06	5.325503e-07	1.584982e-06
460           	9.804586e-07	9.362141e-02	-4.119441e-06	-1.079262e-06	-3.040179e-06
461           	-6.814138e-07	9.362213e-02	1.981930e-06	3.095514e-07	1.672379e-06
462           	8.390797e-07	9.362186e-02	-4.137911e-06	-1.229876e-06	-2.908035e-06
463           	-7.593881e-07	9.362242e-02	2.162875e-06	3.220496e-07	1.840826e-06
464           	7.909139e-07	9.362202e-02	-3.865615e-06	-1.141893e-06	-2.723721e-06
465           	-4.273645e-07	9.362245e-02	1.077037e-06	1.111538e-07	9.658829e-07
466           	1.335627e-06	9.362195e-02	-5.648983e-06	-1.488865e-06	-4.160119e-06
467           	-4.304362e-07	9.362230e-02	1.402105e-06	2.706161e-07	1.131489e-06
468           	4.975728e-07	9.362192e-02	-2.033137e-06	-5.189957e-07	-1.514141e-06
469           	-1.987100e-06	9.362226e-02	8.326709e-06	2.176255e-06	6.150454e-06
470           	-3.075431e-07	9.362182e-02	1.939869e-06	6.623912e-07	1.277477e-06
471           	-8.346331e-07	9.362201e-02	4.338038e-06	1.334386e-06	3.003652e-06
472           	1.349381e-06	9.362145e-02	-4.362420e-06	-8.318291e-07	-3.530591e-06
473           	4.177969e-07	9.362153e-02	-1.321966e-06	-2.431863e-07	-1.078780e-06
474           	2.352836e-06	9.362116e-02	-1.003681e-05	-2.665569e-06	-7.371242e-06
475           	3.596179e-07	9.362173e-02	-2.538536e-06	-9.096499e-07	-1.628886e-06
476           	4.960447e-07	9.362198e-02	-3.409329e-06	-1.208620e-06	-2.200709e-06
477           	-2.746407e-06	9.362298e-02	1.001758e-05	2.262381e-06	7.755195e-06
478           	-6.831809e-07	9.362288e-02	2.732533e-06	6.830855e-07	2.049447e-06
479           	-1.463989e-06	9.362284e-02	6.579504e-06	1.825762e-06	4.753741e-06
480           	1.658369e-06	9.362177e-02	-5.484447e-06	-1.083854e-06	-4.400593e-06
481           	1.787488e-07	9.362143e-02	2.841411e-07	3.208193e-07	-3.667826e-08
482           	1.793313e-06	9.362084e-02	-6.476874e-06	-1.445124e-06	-5.031750e-06
483           	-7.388340e-07	9.362136e-02	3.050943e-06	7.866376e-07	2.264306e-06
484           	6.920581e-07	9.362157e-02	-3.180761e-06	-8.983226e-07	-2.282439e-06
485           	-8.197224e-07	9.362226e-02	2.390712e-06	3.756334e-07	2.015078e-06
486           	6.157873e-07	9.362238e-02	-3.683963e-06	-1.226194e-06	-2.457769e-06
487           	-1.057567e-06	9.362288e-02	3.033336e-06	4.591013e-07	2.574234e-06
488           	3.441703e-07	9.362242e-02	-1.628096e-06	-4.698778e-07	-1.158218e-06
489           	-1.195050e-06	9.362265e-02	5.091127e-06	1.350513e-06	3.740614e-06
490           	1.820561e-07	9.362191e-02	2.602341e-07	3.121731e-07	-5.193902e-08
491           	-1.127761e-06	9.362171e-02	6.320097e-06	2.032287e-06	4.287810e-06
492           	7.924003e-07	9.362114e-02	-1.256394e-06	1.642035e-07	-1.420597e-06
493           	-4.573741e-08	9.362158e-02	1.645657e-06	7.770912e-07	8.685660e-07
494           	2.158585e-06	9.362122e-02	-9.064824e-06	-2.373827e-06	-6.690997e-06
495           	2.747811e-07	9.362175e-02	-2.455548e-06	-9.529928e-07	-1.502555e-06
496           	5.975811e-07	9.362184e-02	-4.832073e-06	-1.818455e-06	-3.013618e-06
497           	-1.555094e-06	9.362252e-02	3.675665e-06	2.827389e-07	3.392926e-06
498           	-4.164754e-07	9.362256e-02	3.438972e-07	-2.445268e-07	5.884240e-07
499           	-2.164182e-06	9.362291e-02	9.126825e-06	2.399231e-06	6.727594e-06
500           	-1.668332e-07	9.362229e-02	1.948050e-06	8.071921e-07	1.140858e-06
